Predicate,Restaurant,Number of Yes,Number of No,Entropy
Does this restaurant have its own website?,Platano,28,1,0.10389066382144405
Does this restaurant have a parking lot?,Zachary's Chicago Pizza,13,14,0.3007717432323853
Does this restaurant have a parking lot?,Eureka!,9,18,0.2797663283091716
Does this restaurant serve breakfast?,Eureka!,5,25,0.20958077364668318
Does this restaurant serve breakfast?,Chez Panisse,3,25,0.17053635430122518
Does this restaurant have drinks for those under 21?,Rivoli,15,12,0.2987020219512432
Does this restaurant serve breakfast?,Bette's Oceanview Diner,27,3,0.16362920197946884
Does this restaurant have a drive-through?,Cheese Board Pizza,4,25,0.19187275612713198
Does this restaurant have its own website?,Brazil Cafe,28,2,0.13512167509400866
Does this restaurant have its own website?,Zachary's Chicago Pizza,30,0,0.06039333741795431
Would a typical meal at this restaurant cost more than $30?,Zachary's Chicago Pizza,6,24,0.22814415029175789
Does this restaurant have its own website?,Comal,30,0,0.06039333741795431
Does this restaurant have drinks for those under 21?,FIVE,19,7,0.25982518101310587
Does this restaurant have more than 20 items on its menu?,Eureka!,29,0,0.06188951184750252
Does this restaurant serve breakfast?,La Note Restaurant Provencal,27,2,0.13807818926197835
Does this restaurant have a parking lot?,Bette's Oceanview Diner,9,19,0.27643459094367495
Does this restaurant serve breakfast?,Angeline's Louisiana Kitchen,2,27,0.13807818926197832
Does this restaurant have drinks for those under 21?,Zachary's Chicago Pizza,25,2,0.14444383198860247
Does this restaurant serve Chinese food?,Toss Noodle Bar,28,2,0.13512167509400866
Does this restaurant serve breakfast?,Toss Noodle Bar,2,28,0.13512167509400866
Does this restaurant serve Chinese food?,Bette's Oceanview Diner,1,29,0.1015344272912236
Does this restaurant have its own website?,FIVE,27,3,0.16362920197946884
Would a typical meal at this restaurant cost more than $30?,Great China,1,27,0.10637175908932572
Does this restaurant serve breakfast?,Great China,6,24,0.22814415029175789
Does this restaurant have a drive-through?,Rivoli,1,29,0.1015344272912236
Would a typical meal at this restaurant cost more than $30?,FIVE,16,11,0.2945425973471576
Does this restaurant serve Chinese food?,Eureka!,1,29,0.1015344272912236
Does this restaurant have drinks for those under 21?,Great China,24,3,0.17423454334334265
Does this restaurant have a romantic atmosphere?,FIVE,25,3,0.17053635430122518
Does this restaurant serve Chinese food?,Vik's Chaat and Market,2,27,0.13807818926197832
Does this restaurant have a romantic atmosphere?,Platano,6,22,0.235940371102848
Does this restaurant have drinks for those under 21?,Gather,21,7,0.2518539589188596
Does this restaurant serve Chinese food?,Chez Panisse,1,28,0.10389066382144398
Does this restaurant serve breakfast?,Vik's Chaat and Market,6,24,0.22814415029175789
Does this restaurant have a romantic atmosphere?,Bette's Oceanview Diner,7,22,0.24799201240394408
Does this restaurant have more than 20 items on its menu?,La Note Restaurant Provencal,28,1,0.10389066382144405
Is this restaurant open until midnight?,Toss Noodle Bar,0,30,0.06039333741795431
Does this restaurant have a romantic atmosphere?,Brazil Cafe,6,22,0.235940371102848
Does this restaurant have a romantic atmosphere?,Gregoire,4,26,0.1882227391332575
Is this restaurant open until midnight?,Urbann Turbann,2,28,0.13512167509400866
Does this restaurant serve breakfast?,Cheese Board Pizza,8,22,0.25802739040245093
Does this restaurant have a parking lot?,Rivoli,7,16,0.2722459462973894
Does this restaurant have a parking lot?,Gregoire,6,23,0.23198246540916484
Does this restaurant have a romantic atmosphere?,Great China,9,20,0.273084107079037
Does this restaurant have a romantic atmosphere?,La Note Restaurant Provencal,16,11,0.2945425973471576
Does this restaurant have a romantic atmosphere?,Rivoli,28,2,0.13512167509400866
Does this restaurant serve breakfast?,Ajanta,2,28,0.13512167509400866
Does this restaurant have a drive-through?,Vik's Chaat and Market,3,24,0.17423454334334265
Is this restaurant open until midnight?,Zachary's Chicago Pizza,2,26,0.14118174150460758
Does this restaurant have its own website?,Toss Noodle Bar,8,21,0.2616364821232255
Does this restaurant have its own website?,Eureka!,29,1,0.1015344272912236
Does this restaurant have drinks for those under 21?,Ajanta,27,3,0.16362920197946884
Does this restaurant have more than 20 items on its menu?,Comal,27,3,0.16362920197946884
Is this restaurant open until midnight?,La Note Restaurant Provencal,2,28,0.13512167509400866
Does this restaurant have more than 20 items on its menu?,Urbann Turbann,8,18,0.27271156694730225
Would a typical meal at this restaurant cost more than $30?,Cheese Board Pizza,1,29,0.1015344272912236
Does this restaurant serve breakfast?,Urbann Turbann,1,26,0.10898828673962437
Does this restaurant have a parking lot?,Urbann Turbann,6,22,0.235940371102848
Does this restaurant have its own website?,Bette's Oceanview Diner,29,1,0.1015344272912236
Does this restaurant have more than 20 items on its menu?,Gregoire,21,8,0.2616364821232255
Does this restaurant have more than 20 items on its menu?,Oliveto Restaurant,27,3,0.16362920197946884
Does this restaurant serve Chinese food?,Comal,0,30,0.06039333741795431
Does this restaurant have a parking lot?,La Note Restaurant Provencal,13,14,0.3007717432323853
Does this restaurant serve Chinese food?,La Note Restaurant Provencal,1,28,0.10389066382144398
Does this restaurant have a parking lot?,Gather,8,18,0.27271156694730225
Does this restaurant have a parking lot?,Brazil Cafe,11,16,0.2945425973471576
Does this restaurant have more than 20 items on its menu?,Vik's Chaat and Market,29,1,0.1015344272912236
Does this restaurant have a parking lot?,Toss Noodle Bar,4,24,0.1956762467702946
Does this restaurant serve Chinese food?,Oliveto Restaurant,1,28,0.10389066382144398
Is this restaurant open until midnight?,Rivoli,2,27,0.13807818926197832
Would a typical meal at this restaurant cost more than $30?,La Note Restaurant Provencal,9,19,0.27643459094367495
Does this restaurant have a drive-through?,Chez Panisse,0,28,0.06346985675067154
Does this restaurant serve breakfast?,Zachary's Chicago Pizza,3,26,0.16700486810509502
Does this restaurant have more than 20 items on its menu?,Platano,29,1,0.1015344272912236
Does this restaurant have a parking lot?,Platano,5,24,0.21338079966966617
Does this restaurant have a parking lot?,FIVE,8,19,0.2689917048564199
Does this restaurant have a romantic atmosphere?,Toss Noodle Bar,5,23,0.21732201127364886
Does this restaurant have drinks for those under 21?,La Note Restaurant Provencal,26,2,0.14118174150460758
Would a typical meal at this restaurant cost more than $30?,Ajanta,6,24,0.22814415029175789
Does this restaurant have drinks for those under 21?,Comal,21,7,0.2518539589188596
Does this restaurant have a drive-through?,La Note Restaurant Provencal,2,26,0.14118174150460758
Does this restaurant have its own website?,Gregoire,28,1,0.10389066382144405
Does this restaurant have a romantic atmosphere?,Angeline's Louisiana Kitchen,5,23,0.21732201127364886
Does this restaurant have drinks for those under 21?,Bette's Oceanview Diner,27,3,0.16362920197946884
Does this restaurant have more than 20 items on its menu?,Angeline's Louisiana Kitchen,30,0,0.06039333741795431
Does this restaurant have a drive-through?,FIVE,1,27,0.10637175908932572
Does this restaurant have a drive-through?,Toss Noodle Bar,4,26,0.1882227391332575
Does this restaurant have a drive-through?,Oliveto Restaurant,1,28,0.10389066382144398
Would a typical meal at this restaurant cost more than $30?,Vik's Chaat and Market,1,23,0.11777604826287537
Does this restaurant have drinks for those under 21?,Oliveto Restaurant,18,10,0.28539998955818824
Does this restaurant serve breakfast?,Rivoli,2,26,0.14118174150460758
Is this restaurant open until midnight?,Great China,1,28,0.10389066382144398
Does this restaurant have drinks for those under 21?,Platano,22,6,0.23594037110284788
Does this restaurant serve Chinese food?,Ajanta,2,28,0.13512167509400866
Does this restaurant have more than 20 items on its menu?,Zachary's Chicago Pizza,19,11,0.28731326376205835
Does this restaurant serve Chinese food?,Cheese Board Pizza,0,29,0.06188951184750256
Does this restaurant have a drive-through?,Comal,3,25,0.17053635430122518
Is this restaurant open until midnight?,Vik's Chaat and Market,1,28,0.10389066382144398
Does this restaurant have a romantic atmosphere?,Vik's Chaat and Market,0,29,0.06188951184750256
Does this restaurant have drinks for those under 21?,Angeline's Louisiana Kitchen,24,5,0.21338079966966617
Is this restaurant open until midnight?,Chez Panisse,3,26,0.16700486810509502
Does this restaurant serve Chinese food?,Angeline's Louisiana Kitchen,0,30,0.06039333741795431
Does this restaurant have drinks for those under 21?,Cheese Board Pizza,22,4,0.20377980812490742
Does this restaurant have a parking lot?,Chez Panisse,8,18,0.27271156694730225
Does this restaurant have drinks for those under 21?,Toss Noodle Bar,29,1,0.1015344272912236
Does this restaurant have its own website?,Vik's Chaat and Market,28,2,0.13512167509400866
Does this restaurant have more than 20 items on its menu?,Great China,28,1,0.10389066382144405
Does this restaurant have a romantic atmosphere?,Ajanta,24,6,0.22814415029175789
Would a typical meal at this restaurant cost more than $30?,Urbann Turbann,2,25,0.14444383198860247
Is this restaurant open until midnight?,Gather,1,28,0.10389066382144398
Is this restaurant open until midnight?,Eureka!,25,3,0.17053635430122518
Does this restaurant have more than 20 items on its menu?,Gather,29,0,0.06188951184750252
Is this restaurant open until midnight?,Gregoire,1,27,0.10637175908932572
Does this restaurant have a parking lot?,Great China,8,21,0.2616364821232255
Is this restaurant open until midnight?,Cheese Board Pizza,0,29,0.06188951184750256
Is this restaurant open until midnight?,Bette's Oceanview Diner,2,28,0.13512167509400866
Does this restaurant have a parking lot?,Cheese Board Pizza,3,23,0.17811125397113367
Is this restaurant open until midnight?,Ajanta,3,27,0.16362920197946884
Does this restaurant serve Chinese food?,Great China,30,0,0.06039333741795431
Does this restaurant have a romantic atmosphere?,Comal,10,19,0.28246106641426943
Does this restaurant have drinks for those under 21?,Eureka!,23,4,0.19964214194176166
Does this restaurant have drinks for those under 21?,Urbann Turbann,25,3,0.17053635430122518
Does this restaurant have more than 20 items on its menu?,Chez Panisse,15,13,0.30006418065332474
Does this restaurant have a drive-through?,Urbann Turbann,2,27,0.13807818926197832
Does this restaurant have its own website?,Gather,29,1,0.1015344272912236
Does this restaurant have more than 20 items on its menu?,Rivoli,21,7,0.2518539589188596
Does this restaurant have a romantic atmosphere?,Oliveto Restaurant,25,4,0.19187275612713195
Does this restaurant have a romantic atmosphere?,Urbann Turbann,6,22,0.235940371102848
Does this restaurant have more than 20 items on its menu?,Bette's Oceanview Diner,27,3,0.16362920197946884
Does this restaurant have more than 20 items on its menu?,Cheese Board Pizza,18,12,0.2933505408795113
Does this restaurant have a parking lot?,Ajanta,11,17,0.29228525323862886
Does this restaurant have a drive-through?,Eureka!,2,28,0.13512167509400866
Does this restaurant have drinks for those under 21?,Brazil Cafe,26,0,0.06691440161748143
Does this restaurant have its own website?,Rivoli,28,2,0.13512167509400866
Does this restaurant serve Chinese food?,Rivoli,2,27,0.13807818926197832
Is this restaurant open until midnight?,Oliveto Restaurant,3,27,0.16362920197946884
Does this restaurant have a romantic atmosphere?,Eureka!,8,20,0.2652949955741215
Does this restaurant have a drive-through?,Zachary's Chicago Pizza,2,28,0.13512167509400866
Would a typical meal at this restaurant cost more than $30?,Angeline's Louisiana Kitchen,4,25,0.19187275612713198
Would a typical meal at this restaurant cost more than $30?,Toss Noodle Bar,3,27,0.16362920197946884
Does this restaurant serve breakfast?,Brazil Cafe,2,28,0.13512167509400866
Does this restaurant serve Chinese food?,Gregoire,1,29,0.1015344272912236
Does this restaurant serve breakfast?,Oliveto Restaurant,13,16,0.2989931724495633
Does this restaurant have drinks for those under 21?,Vik's Chaat and Market,28,2,0.13512167509400866
Is this restaurant open until midnight?,Comal,2,28,0.13512167509400866
Would a typical meal at this restaurant cost more than $30?,Oliveto Restaurant,22,8,0.25802739040245093
Does this restaurant have more than 20 items on its menu?,Brazil Cafe,28,2,0.13512167509400866
Is this restaurant open until midnight?,Brazil Cafe,2,27,0.13807818926197832
Does this restaurant have its own website?,La Note Restaurant Provencal,30,0,0.06039333741795431
Does this restaurant serve Chinese food?,Gather,2,27,0.13807818926197832
Would a typical meal at this restaurant cost more than $30?,Gregoire,5,25,0.20958077364668318
Does this restaurant have a drive-through?,Great China,0,27,0.06514196763750303
Does this restaurant have a romantic atmosphere?,Cheese Board Pizza,3,25,0.17053635430122518
Is this restaurant open until midnight?,Angeline's Louisiana Kitchen,1,29,0.1015344272912236
Does this restaurant serve breakfast?,Platano,2,26,0.14118174150460758
Does this restaurant serve breakfast?,FIVE,25,4,0.19187275612713195
Does this restaurant have a drive-through?,Gather,4,25,0.19187275612713198
Does this restaurant have a parking lot?,Oliveto Restaurant,7,22,0.24799201240394408
Does this restaurant have its own website?,Great China,29,1,0.1015344272912236
Would a typical meal at this restaurant cost more than $30?,Comal,5,23,0.21732201127364886
Is this restaurant open until midnight?,Platano,1,29,0.1015344272912236
Would a typical meal at this restaurant cost more than $30?,Brazil Cafe,0,29,0.06188951184750256
Does this restaurant have its own website?,Chez Panisse,30,0,0.06039333741795431
Does this restaurant have a drive-through?,Gregoire,1,26,0.10898828673962437
Does this restaurant serve Chinese food?,Zachary's Chicago Pizza,1,29,0.1015344272912236
Does this restaurant have a parking lot?,Comal,6,23,0.23198246540916484
Does this restaurant serve breakfast?,Comal,1,28,0.10389066382144398
Does this restaurant have a drive-through?,Angeline's Louisiana Kitchen,1,29,0.1015344272912236
Does this restaurant have drinks for those under 21?,Chez Panisse,19,9,0.27643459094367495
Would a typical meal at this restaurant cost more than $30?,Platano,4,24,0.1956762467702946
Does this restaurant have a romantic atmosphere?,Gather,21,6,0.2400191958924618
Does this restaurant have its own website?,Oliveto Restaurant,30,0,0.06039333741795431
Does this restaurant have more than 20 items on its menu?,Ajanta,25,5,0.20958077364668318
Does this restaurant serve Chinese food?,Platano,3,27,0.16362920197946884
Would a typical meal at this restaurant cost more than $30?,Gather,9,19,0.27643459094367495
Does this restaurant have a drive-through?,Ajanta,0,30,0.06039333741795431
Does this restaurant have a romantic atmosphere?,Chez Panisse,25,3,0.17053635430122518
Does this restaurant have drinks for those under 21?,Gregoire,22,5,0.22141014511597337
Does this restaurant have a drive-through?,Brazil Cafe,3,24,0.17423454334334265
Is this restaurant open until midnight?,FIVE,2,28,0.13512167509400866
Does this restaurant have a drive-through?,Bette's Oceanview Diner,2,27,0.13807818926197832
Would a typical meal at this restaurant cost more than $30?,Bette's Oceanview Diner,0,28,0.06346985675067154
Does this restaurant have its own website?,Ajanta,30,0,0.06039333741795431
Does this restaurant have a parking lot?,Vik's Chaat and Market,19,8,0.26899170485641993
Does this restaurant have a romantic atmosphere?,Zachary's Chicago Pizza,4,24,0.1956762467702946
Does this restaurant serve Chinese food?,Brazil Cafe,2,26,0.14118174150460758
Does this restaurant have more than 20 items on its menu?,FIVE,25,1,0.1117520656790324
Does this restaurant serve Chinese food?,Urbann Turbann,1,29,0.1015344272912236
Does this restaurant have more than 20 items on its menu?,Toss Noodle Bar,19,4,0.21732201127364884
Does this restaurant have a drive-through?,Platano,0,30,0.06039333741795431
Does this restaurant serve breakfast?,Gather,12,17,0.29535625280690536
Does this restaurant have its own website?,Urbann Turbann,29,1,0.1015344272912236
Does this restaurant have its own website?,Angeline's Louisiana Kitchen,30,0,0.06039333741795431
Does this restaurant serve breakfast?,Gregoire,26,4,0.1882227391332575
Does this restaurant serve Chinese food?,FIVE,1,29,0.1015344272912236
Would a typical meal at this restaurant cost more than $30?,Eureka!,9,20,0.273084107079037
Does this restaurant have its own website?,Cheese Board Pizza,27,1,0.10637175908932572
Would a typical meal at this restaurant cost more than $30?,Chez Panisse,25,4,0.19187275612713195
Does this restaurant have a parking lot?,Angeline's Louisiana Kitchen,11,17,0.29228525323862886
Would a typical meal at this restaurant cost more than $30?,Rivoli,22,5,0.22141014511597337
