Restaurant,Address,Question
Comal,"2020 Shattuck Ave, Berkeley, CA 94704",Does this restaurant have a drive-through?
Great China,"2190 Bancroft Way, Berkeley, CA 94704",Does this restaurant serve breakfast?
Gather,"2200 Oxford St, Berkeley, CA 94704",Does this restaurant serve Chinese food?
Cheese Board Pizza,"1512 Shattuck Ave, Berkeley, CA 94709",Does this restaurant have its own website?
FIVE,"2086 Allston Way, Berkeley, CA 94704",Does this restaurant have drinks for those under 21?
Gather,"2200 Oxford St, Berkeley, CA 94704",Does this restaurant serve breakfast?
Great China,"2190 Bancroft Way, Berkeley, CA 94704",Does this restaurant have a drive-through?
Angeline's Louisiana Kitchen,"2261 Shattuck Ave, Berkeley, CA 94704",Does this restaurant have a romantic atmosphere?
Urbann Turbann,"1870 Euclid Ave, Berkeley, CA 94704",Does this restaurant have a drive-through?
Angeline's Louisiana Kitchen,"2261 Shattuck Ave, Berkeley, CA 94704",Does this restaurant have drinks for those under 21?
La Note Restaurant Provencal,"2377 Shattuck Ave, Berkeley, CA 94704",Would a typical meal at this restaurant cost more than $30?
Brazil Cafe,"1960 University Ave, Berkeley, CA 94704",Does this restaurant have a parking lot?
Ajanta,"1888 Solano Ave, Berkeley, CA 94707",Does this restaurant have its own website?
Ajanta,"1888 Solano Ave, Berkeley, CA 94707",Does this restaurant serve Chinese food?
Bette's Oceanview Diner,"1807 Fourth St, Berkeley, CA 94710",Does this restaurant serve Chinese food?
Rivoli,"3101 Solano Ave, Berkeley, CA 94705",Does this restaurant serve breakfast?
Oliveto Restaurant,"5655 College Ave, Oakland, CA 94618",Does this restaurant serve Chinese food?
Rivoli,"3101 Solano Ave, Berkeley, CA 94705",Does this restaurant have its own website?
Gather,"2200 Oxford St, Berkeley, CA 94704",Does this restaurant have a parking lot?
Bette's Oceanview Diner,"1807 Fourth St, Berkeley, CA 94710",Does this restaurant have a romantic atmosphere?
Ajanta,"1888 Solano Ave, Berkeley, CA 94707",Is this restaurant open until midnight?
Rivoli,"3101 Solano Ave, Berkeley, CA 94705",Does this restaurant serve Chinese food?
Platano,"2042 University Ave, Berkeley, CA 94704",Does this restaurant have a romantic atmosphere?
Great China,"2190 Bancroft Way, Berkeley, CA 94704",Does this restaurant have more than 20 items on its menu?
Comal,"2020 Shattuck Ave, Berkeley, CA 94704",Does this restaurant have more than 20 items on its menu?
Great China,"2190 Bancroft Way, Berkeley, CA 94704",Does this restaurant have its own website?
Brazil Cafe,"1960 University Ave, Berkeley, CA 94704",Does this restaurant serve breakfast?
Rivoli,"3101 Solano Ave, Berkeley, CA 94705",Does this restaurant have drinks for those under 21?
Urbann Turbann,"1870 Euclid Ave, Berkeley, CA 94704",Does this restaurant have its own website?
Vik's Chaat and Market,"2390 Fourth St, Berkeley, CA 94710",Does this restaurant have drinks for those under 21?
Vik's Chaat and Market,"2390 Fourth St, Berkeley, CA 94710",Does this restaurant have a romantic atmosphere?
Platano,"2042 University Ave, Berkeley, CA 94704",Does this restaurant have a parking lot?
Eureka!,"2068 Center St, Berkeley, CA 94704",Does this restaurant serve Chinese food?
Brazil Cafe,"1960 University Ave, Berkeley, CA 94704",Does this restaurant have its own website?
Angeline's Louisiana Kitchen,"2261 Shattuck Ave, Berkeley, CA 94704",Does this restaurant have a parking lot?
Chez Panisse,"1517 Shattuck Ave, Berkeley, CA 94709",Does this restaurant serve breakfast?
Vik's Chaat and Market,"2390 Fourth St, Berkeley, CA 94710",Would a typical meal at this restaurant cost more than $30?
La Note Restaurant Provencal,"2377 Shattuck Ave, Berkeley, CA 94704",Does this restaurant serve Chinese food?
Platano,"2042 University Ave, Berkeley, CA 94704",Does this restaurant serve breakfast?
Zachary's Chicago Pizza,"1853 Solano Ave, Berkeley, CA 94707",Would a typical meal at this restaurant cost more than $30?
Vik's Chaat and Market,"2390 Fourth St, Berkeley, CA 94710",Does this restaurant serve breakfast?
Rivoli,"3101 Solano Ave, Berkeley, CA 94705",Does this restaurant have a romantic atmosphere?
Brazil Cafe,"1960 University Ave, Berkeley, CA 94704",Is this restaurant open until midnight?
FIVE,"2086 Allston Way, Berkeley, CA 94704",Does this restaurant serve breakfast?
Urbann Turbann,"1870 Euclid Ave, Berkeley, CA 94704",Does this restaurant serve Chinese food?
Comal,"2020 Shattuck Ave, Berkeley, CA 94704",Does this restaurant have its own website?
Vik's Chaat and Market,"2390 Fourth St, Berkeley, CA 94710",Does this restaurant have a parking lot?
Zachary's Chicago Pizza,"1853 Solano Ave, Berkeley, CA 94707",Does this restaurant serve breakfast?
Vik's Chaat and Market,"2390 Fourth St, Berkeley, CA 94710",Does this restaurant have more than 20 items on its menu?
Urbann Turbann,"1870 Euclid Ave, Berkeley, CA 94704",Would a typical meal at this restaurant cost more than $30?
Gregoire,"2109 Cedar St, Berkeley, CA 94709",Does this restaurant have more than 20 items on its menu?
Toss Noodle Bar,"2272 Shattuck Ave, Berkeley, CA 94704",Does this restaurant have more than 20 items on its menu?
Bette's Oceanview Diner,"1807 Fourth St, Berkeley, CA 94710",Is this restaurant open until midnight?
Gather,"2200 Oxford St, Berkeley, CA 94704",Would a typical meal at this restaurant cost more than $30?
Toss Noodle Bar,"2272 Shattuck Ave, Berkeley, CA 94704",Is this restaurant open until midnight?
Brazil Cafe,"1960 University Ave, Berkeley, CA 94704",Does this restaurant have more than 20 items on its menu?
Eureka!,"2068 Center St, Berkeley, CA 94704",Does this restaurant have a drive-through?
La Note Restaurant Provencal,"2377 Shattuck Ave, Berkeley, CA 94704",Does this restaurant have its own website?
Gather,"2200 Oxford St, Berkeley, CA 94704",Does this restaurant have drinks for those under 21?
Zachary's Chicago Pizza,"1853 Solano Ave, Berkeley, CA 94707",Does this restaurant have drinks for those under 21?
Gregoire,"2109 Cedar St, Berkeley, CA 94709",Does this restaurant have a drive-through?
Brazil Cafe,"1960 University Ave, Berkeley, CA 94704",Does this restaurant serve Chinese food?
Oliveto Restaurant,"5655 College Ave, Oakland, CA 94618",Does this restaurant serve breakfast?
Vik's Chaat and Market,"2390 Fourth St, Berkeley, CA 94710",Is this restaurant open until midnight?
Platano,"2042 University Ave, Berkeley, CA 94704",Would a typical meal at this restaurant cost more than $30?
Urbann Turbann,"1870 Euclid Ave, Berkeley, CA 94704",Does this restaurant have a romantic atmosphere?
La Note Restaurant Provencal,"2377 Shattuck Ave, Berkeley, CA 94704",Is this restaurant open until midnight?
Comal,"2020 Shattuck Ave, Berkeley, CA 94704",Would a typical meal at this restaurant cost more than $30?
Zachary's Chicago Pizza,"1853 Solano Ave, Berkeley, CA 94707",Does this restaurant have its own website?
Oliveto Restaurant,"5655 College Ave, Oakland, CA 94618",Would a typical meal at this restaurant cost more than $30?
Ajanta,"1888 Solano Ave, Berkeley, CA 94707",Does this restaurant have a drive-through?
Gregoire,"2109 Cedar St, Berkeley, CA 94709",Is this restaurant open until midnight?
Toss Noodle Bar,"2272 Shattuck Ave, Berkeley, CA 94704",Does this restaurant have a parking lot?
Platano,"2042 University Ave, Berkeley, CA 94704",Does this restaurant have a drive-through?
Urbann Turbann,"1870 Euclid Ave, Berkeley, CA 94704",Does this restaurant serve breakfast?
Vik's Chaat and Market,"2390 Fourth St, Berkeley, CA 94710",Does this restaurant have its own website?
Toss Noodle Bar,"2272 Shattuck Ave, Berkeley, CA 94704",Does this restaurant have drinks for those under 21?
Brazil Cafe,"1960 University Ave, Berkeley, CA 94704",Does this restaurant have a romantic atmosphere?
Eureka!,"2068 Center St, Berkeley, CA 94704",Does this restaurant have its own website?
FIVE,"2086 Allston Way, Berkeley, CA 94704",Would a typical meal at this restaurant cost more than $30?
Great China,"2190 Bancroft Way, Berkeley, CA 94704",Does this restaurant serve Chinese food?
Oliveto Restaurant,"5655 College Ave, Oakland, CA 94618",Does this restaurant have a romantic atmosphere?
Toss Noodle Bar,"2272 Shattuck Ave, Berkeley, CA 94704",Does this restaurant serve Chinese food?
Urbann Turbann,"1870 Euclid Ave, Berkeley, CA 94704",Is this restaurant open until midnight?
La Note Restaurant Provencal,"2377 Shattuck Ave, Berkeley, CA 94704",Does this restaurant serve breakfast?
Comal,"2020 Shattuck Ave, Berkeley, CA 94704",Does this restaurant serve breakfast?
Chez Panisse,"1517 Shattuck Ave, Berkeley, CA 94709",Does this restaurant have drinks for those under 21?
Ajanta,"1888 Solano Ave, Berkeley, CA 94707",Does this restaurant have more than 20 items on its menu?
Ajanta,"1888 Solano Ave, Berkeley, CA 94707",Does this restaurant have drinks for those under 21?
Platano,"2042 University Ave, Berkeley, CA 94704",Does this restaurant have its own website?
La Note Restaurant Provencal,"2377 Shattuck Ave, Berkeley, CA 94704",Does this restaurant have more than 20 items on its menu?
Bette's Oceanview Diner,"1807 Fourth St, Berkeley, CA 94710",Does this restaurant have drinks for those under 21?
Vik's Chaat and Market,"2390 Fourth St, Berkeley, CA 94710",Does this restaurant serve Chinese food?
FIVE,"2086 Allston Way, Berkeley, CA 94704",Does this restaurant serve Chinese food?
Cheese Board Pizza,"1512 Shattuck Ave, Berkeley, CA 94709",Does this restaurant have drinks for those under 21?
Angeline's Louisiana Kitchen,"2261 Shattuck Ave, Berkeley, CA 94704",Does this restaurant have a drive-through?
Great China,"2190 Bancroft Way, Berkeley, CA 94704",Is this restaurant open until midnight?
Eureka!,"2068 Center St, Berkeley, CA 94704",Does this restaurant serve breakfast?
Platano,"2042 University Ave, Berkeley, CA 94704",Does this restaurant have drinks for those under 21?
Bette's Oceanview Diner,"1807 Fourth St, Berkeley, CA 94710",Does this restaurant have more than 20 items on its menu?
Zachary's Chicago Pizza,"1853 Solano Ave, Berkeley, CA 94707",Does this restaurant serve Chinese food?
Angeline's Louisiana Kitchen,"2261 Shattuck Ave, Berkeley, CA 94704",Is this restaurant open until midnight?
Ajanta,"1888 Solano Ave, Berkeley, CA 94707",Would a typical meal at this restaurant cost more than $30?
Bette's Oceanview Diner,"1807 Fourth St, Berkeley, CA 94710",Would a typical meal at this restaurant cost more than $30?
Vik's Chaat and Market,"2390 Fourth St, Berkeley, CA 94710",Does this restaurant have a drive-through?
Chez Panisse,"1517 Shattuck Ave, Berkeley, CA 94709",Does this restaurant serve Chinese food?
Gregoire,"2109 Cedar St, Berkeley, CA 94709",Does this restaurant have drinks for those under 21?
Chez Panisse,"1517 Shattuck Ave, Berkeley, CA 94709",Does this restaurant have a drive-through?
Ajanta,"1888 Solano Ave, Berkeley, CA 94707",Does this restaurant serve breakfast?
Comal,"2020 Shattuck Ave, Berkeley, CA 94704",Does this restaurant have a parking lot?
Platano,"2042 University Ave, Berkeley, CA 94704",Does this restaurant serve Chinese food?
Rivoli,"3101 Solano Ave, Berkeley, CA 94705",Does this restaurant have more than 20 items on its menu?
Chez Panisse,"1517 Shattuck Ave, Berkeley, CA 94709",Does this restaurant have a romantic atmosphere?
FIVE,"2086 Allston Way, Berkeley, CA 94704",Does this restaurant have more than 20 items on its menu?
Comal,"2020 Shattuck Ave, Berkeley, CA 94704",Is this restaurant open until midnight?
Ajanta,"1888 Solano Ave, Berkeley, CA 94707",Does this restaurant have a parking lot?
Gather,"2200 Oxford St, Berkeley, CA 94704",Is this restaurant open until midnight?
Eureka!,"2068 Center St, Berkeley, CA 94704",Does this restaurant have a parking lot?
La Note Restaurant Provencal,"2377 Shattuck Ave, Berkeley, CA 94704",Does this restaurant have drinks for those under 21?
Eureka!,"2068 Center St, Berkeley, CA 94704",Does this restaurant have drinks for those under 21?
Brazil Cafe,"1960 University Ave, Berkeley, CA 94704",Would a typical meal at this restaurant cost more than $30?
Cheese Board Pizza,"1512 Shattuck Ave, Berkeley, CA 94709",Does this restaurant have a drive-through?
Gather,"2200 Oxford St, Berkeley, CA 94704",Does this restaurant have more than 20 items on its menu?
La Note Restaurant Provencal,"2377 Shattuck Ave, Berkeley, CA 94704",Does this restaurant have a drive-through?
Comal,"2020 Shattuck Ave, Berkeley, CA 94704",Does this restaurant have drinks for those under 21?
Angeline's Louisiana Kitchen,"2261 Shattuck Ave, Berkeley, CA 94704",Does this restaurant serve Chinese food?
Bette's Oceanview Diner,"1807 Fourth St, Berkeley, CA 94710",Does this restaurant have its own website?
FIVE,"2086 Allston Way, Berkeley, CA 94704",Does this restaurant have a romantic atmosphere?
Oliveto Restaurant,"5655 College Ave, Oakland, CA 94618",Does this restaurant have drinks for those under 21?
Angeline's Louisiana Kitchen,"2261 Shattuck Ave, Berkeley, CA 94704",Does this restaurant have its own website?
Great China,"2190 Bancroft Way, Berkeley, CA 94704",Would a typical meal at this restaurant cost more than $30?
Zachary's Chicago Pizza,"1853 Solano Ave, Berkeley, CA 94707",Is this restaurant open until midnight?
Gregoire,"2109 Cedar St, Berkeley, CA 94709",Does this restaurant have its own website?
Rivoli,"3101 Solano Ave, Berkeley, CA 94705",Would a typical meal at this restaurant cost more than $30?
Rivoli,"3101 Solano Ave, Berkeley, CA 94705",Does this restaurant have a parking lot?
Chez Panisse,"1517 Shattuck Ave, Berkeley, CA 94709",Does this restaurant have a parking lot?
Chez Panisse,"1517 Shattuck Ave, Berkeley, CA 94709",Is this restaurant open until midnight?
Cheese Board Pizza,"1512 Shattuck Ave, Berkeley, CA 94709",Does this restaurant serve Chinese food?
Gregoire,"2109 Cedar St, Berkeley, CA 94709",Does this restaurant have a romantic atmosphere?
Oliveto Restaurant,"5655 College Ave, Oakland, CA 94618",Does this restaurant have a drive-through?
Oliveto Restaurant,"5655 College Ave, Oakland, CA 94618",Does this restaurant have a parking lot?
Platano,"2042 University Ave, Berkeley, CA 94704",Is this restaurant open until midnight?
Angeline's Louisiana Kitchen,"2261 Shattuck Ave, Berkeley, CA 94704",Would a typical meal at this restaurant cost more than $30?
Great China,"2190 Bancroft Way, Berkeley, CA 94704",Does this restaurant have a parking lot?
Oliveto Restaurant,"5655 College Ave, Oakland, CA 94618",Is this restaurant open until midnight?
Brazil Cafe,"1960 University Ave, Berkeley, CA 94704",Does this restaurant have drinks for those under 21?
Urbann Turbann,"1870 Euclid Ave, Berkeley, CA 94704",Does this restaurant have drinks for those under 21?
Comal,"2020 Shattuck Ave, Berkeley, CA 94704",Does this restaurant serve Chinese food?
FIVE,"2086 Allston Way, Berkeley, CA 94704",Does this restaurant have a parking lot?
Gather,"2200 Oxford St, Berkeley, CA 94704",Does this restaurant have a drive-through?
Chez Panisse,"1517 Shattuck Ave, Berkeley, CA 94709",Does this restaurant have more than 20 items on its menu?
Bette's Oceanview Diner,"1807 Fourth St, Berkeley, CA 94710",Does this restaurant have a parking lot?
Cheese Board Pizza,"1512 Shattuck Ave, Berkeley, CA 94709",Does this restaurant have more than 20 items on its menu?
Zachary's Chicago Pizza,"1853 Solano Ave, Berkeley, CA 94707",Does this restaurant have a parking lot?
Gregoire,"2109 Cedar St, Berkeley, CA 94709",Does this restaurant serve Chinese food?
Gregoire,"2109 Cedar St, Berkeley, CA 94709",Would a typical meal at this restaurant cost more than $30?
Eureka!,"2068 Center St, Berkeley, CA 94704",Does this restaurant have a romantic atmosphere?
Cheese Board Pizza,"1512 Shattuck Ave, Berkeley, CA 94709",Does this restaurant serve breakfast?
Toss Noodle Bar,"2272 Shattuck Ave, Berkeley, CA 94704",Does this restaurant have a romantic atmosphere?
Toss Noodle Bar,"2272 Shattuck Ave, Berkeley, CA 94704",Does this restaurant have its own website?
Platano,"2042 University Ave, Berkeley, CA 94704",Does this restaurant have more than 20 items on its menu?
Great China,"2190 Bancroft Way, Berkeley, CA 94704",Does this restaurant have drinks for those under 21?
Cheese Board Pizza,"1512 Shattuck Ave, Berkeley, CA 94709",Does this restaurant have a romantic atmosphere?
Bette's Oceanview Diner,"1807 Fourth St, Berkeley, CA 94710",Does this restaurant have a drive-through?
Angeline's Louisiana Kitchen,"2261 Shattuck Ave, Berkeley, CA 94704",Does this restaurant have more than 20 items on its menu?
Comal,"2020 Shattuck Ave, Berkeley, CA 94704",Does this restaurant have a romantic atmosphere?
Angeline's Louisiana Kitchen,"2261 Shattuck Ave, Berkeley, CA 94704",Does this restaurant serve breakfast?
Ajanta,"1888 Solano Ave, Berkeley, CA 94707",Does this restaurant have a romantic atmosphere?
Zachary's Chicago Pizza,"1853 Solano Ave, Berkeley, CA 94707",Does this restaurant have a romantic atmosphere?
Toss Noodle Bar,"2272 Shattuck Ave, Berkeley, CA 94704",Does this restaurant serve breakfast?
La Note Restaurant Provencal,"2377 Shattuck Ave, Berkeley, CA 94704",Does this restaurant have a parking lot?
Toss Noodle Bar,"2272 Shattuck Ave, Berkeley, CA 94704",Does this restaurant have a drive-through?
Chez Panisse,"1517 Shattuck Ave, Berkeley, CA 94709",Would a typical meal at this restaurant cost more than $30?
Great China,"2190 Bancroft Way, Berkeley, CA 94704",Does this restaurant have a romantic atmosphere?
Cheese Board Pizza,"1512 Shattuck Ave, Berkeley, CA 94709",Is this restaurant open until midnight?
Chez Panisse,"1517 Shattuck Ave, Berkeley, CA 94709",Does this restaurant have its own website?
FIVE,"2086 Allston Way, Berkeley, CA 94704",Is this restaurant open until midnight?
FIVE,"2086 Allston Way, Berkeley, CA 94704",Does this restaurant have a drive-through?
Cheese Board Pizza,"1512 Shattuck Ave, Berkeley, CA 94709",Would a typical meal at this restaurant cost more than $30?
Oliveto Restaurant,"5655 College Ave, Oakland, CA 94618",Does this restaurant have more than 20 items on its menu?
Cheese Board Pizza,"1512 Shattuck Ave, Berkeley, CA 94709",Does this restaurant have a parking lot?
Gregoire,"2109 Cedar St, Berkeley, CA 94709",Does this restaurant serve breakfast?
Eureka!,"2068 Center St, Berkeley, CA 94704",Is this restaurant open until midnight?
Gather,"2200 Oxford St, Berkeley, CA 94704",Does this restaurant have its own website?
FIVE,"2086 Allston Way, Berkeley, CA 94704",Does this restaurant have its own website?
Oliveto Restaurant,"5655 College Ave, Oakland, CA 94618",Does this restaurant have its own website?
Bette's Oceanview Diner,"1807 Fourth St, Berkeley, CA 94710",Does this restaurant serve breakfast?
Eureka!,"2068 Center St, Berkeley, CA 94704",Would a typical meal at this restaurant cost more than $30?
Rivoli,"3101 Solano Ave, Berkeley, CA 94705",Is this restaurant open until midnight?
Zachary's Chicago Pizza,"1853 Solano Ave, Berkeley, CA 94707",Does this restaurant have more than 20 items on its menu?
Eureka!,"2068 Center St, Berkeley, CA 94704",Does this restaurant have more than 20 items on its menu?
Urbann Turbann,"1870 Euclid Ave, Berkeley, CA 94704",Does this restaurant have a parking lot?
Zachary's Chicago Pizza,"1853 Solano Ave, Berkeley, CA 94707",Does this restaurant have a drive-through?
Gregoire,"2109 Cedar St, Berkeley, CA 94709",Does this restaurant have a parking lot?
La Note Restaurant Provencal,"2377 Shattuck Ave, Berkeley, CA 94704",Does this restaurant have a romantic atmosphere?
Toss Noodle Bar,"2272 Shattuck Ave, Berkeley, CA 94704",Would a typical meal at this restaurant cost more than $30?
Rivoli,"3101 Solano Ave, Berkeley, CA 94705",Does this restaurant have a drive-through?
Urbann Turbann,"1870 Euclid Ave, Berkeley, CA 94704",Does this restaurant have more than 20 items on its menu?
Gather,"2200 Oxford St, Berkeley, CA 94704",Does this restaurant have a romantic atmosphere?
Brazil Cafe,"1960 University Ave, Berkeley, CA 94704",Does this restaurant have a drive-through?
