Hotel,Address,Question
Lumiere Place Casino and Hotel,"901 N 1st St 901, St Louis, MO, 63102, USA",Does this hotel cost over $80 a night?
Super 8 St Louis Airport,"9798 Saint Charles Rock Road, St Louis, MO, 63114, USA",Does this hotel cost over $80 a night?
Homewood Suites By Hilton St Louis Galleria,"8040 CLAYTON ROAD RICHMOND HEIGHTS, St Louis, MO, 63117, USA",Does this hotel cost over $80 a night?
Avyan,"2625 Lafayette Ave, St Louis, MO, 63104, United States",Does this hotel cost over $80 a night?
Econo Lodge Southwest,"3730 South Lindbergh Boulevard, St Louis, MO, 63127, USA",Does this hotel cost over $80 a night?
Holiday Inn Airport West Earth City,"3400 Rider Trail South, St Louis, MO, 63045, USA",Does this hotel cost over $80 a night?
Red Roof Inn St Louis Westport,"11837 Lackland Road, St Louis, MO, 63146, USA",Does this hotel cost over $80 a night?
Americas Best Value Inn Saint Louis South,"6602 South Lindbergh Boulevard, St Louis, MO, 63123, USA",Does this hotel cost over $80 a night?
Americas Best Value Inn St Louis Airport,"4545 Woodson Road, St Louis, MO, 63134, USA",Does this hotel cost over $80 a night?
Homewood Suites by Hilton St. Louis Riverport,"13639 Riverport Dr, St Louis, MO, 63043, USA",Does this hotel cost over $80 a night?
Forget-Me-Not Bed And Breakfast,"2712 S Compton Ave, St Louis, MO, 63118, USA",Does this hotel cost over $80 a night?
The Ritz-Carlton - St. Louis,"100 Carondelet Plaza, St. Louis, MO 63105",Does this hotel cost over $80 a night?
Hyatt Regency St. Louis at The Arch ,"315 Chestnut Street, St Louis, MO, 63102, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Residence Inn St Louis,"525 South Jefferson Avenue, St Louis, MO, 63103, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Parkway,"4550 Forest Park Avenue, St Louis, MO, 63108, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Marriott St. Louis Grand,"800 Washington Avenue, St Louis, MO, 63101, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Drury Plaza at the Arch,"2 South 4th Street, St Louis, MO, 63102, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Hampton Inn St Louis Downtown,"333 Washington Avenue, St Louis, MO, 63102, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Four Seasons Saint Louis,"999 North Second Street, St Louis, MO, 63102, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Hilton St. Louis at the Ballpark,"One South Broadway, St Louis, MO, 63102, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
St. Louis City Center Hotel,"400 South 14th Street, St Louis, MO, 63103, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
The Chase Park Plaza,"212 North Kingshighway, St Louis, MO, 63108, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
DoubleTree by Hilton St Louis Union Station,"1820 Market Street, St Louis, MO, 63103, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Crowne Plaza St. Louis - Downtown,"200 North Fourth St., St Louis, MO, 63102, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Hilton Saint Louis Airport,"10330 Natural Bridge Road, St Louis, MO, 63134, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
The Westin St Louis,"811 Spruce Street, St Louis, MO, 63102, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Hilton St. Louis Downtown at the Arch,"400 Olive Street, St Louis, MO, 63102, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Holiday Inn St. Louis - Downtown Conv Ctr,"811 N. 9th Street, St Louis, MO, 63101, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Comfort Inn St Louis - Westport,"12031 Lackland Road, St Louis, MO, 63146, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Drury Inn & Suites St. Louis Convention Center,"711 North Broadway, St Louis, MO, 63102, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Embassy Suites St. Louis - Downtown,"610 N 7th St, St. Louis, MO 63101",Is this hotel in a safe part of town (e.g. with low crime rates)?
Pear Tree Inn St. Louis Near Union Station,"2211 Market Street, St Louis, MO, 63103, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Hampton Inn & Suites Saint Louis at Forest Park,"5650 Oakland Avenue, St Louis, MO, 63110, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Red Roof Inn St Louis - Forest Park Hampton Avenue,"5823 Wilson Avenue, St Louis, MO, 63110 , USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Courtyard St Louis Downtown,"2340 Market Street, St Louis, MO, 63103, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Drury Inn Saint Louis Union Station,"201 South 20th Street, St Louis, MO, 63103, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Hampton Inn & Suites St Louis - South I-55,"4200 MidAmerica Lane, St Louis, MO, 63129, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Magnolia St. Louis,"421 North 8th Street, St Louis, MO, 63101, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Moonrise,"6177 Delmar in The Loop, St Louis, MO, 63112, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Holiday Inn Express St Louis,"2625 Lafayette, St Louis, MO, 63104, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Courtyard Saint Louis Westport Plaza,"11888 Westline Industrial Drive, St Louis, MO, 63146, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Missouri Athletic Club,"405 Washington Avenue, St Louis, MO, 63102, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Best Western Kirkwood Inn,"1200 South Kirkwood Road, St Louis, MO, 63122, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Marriott St Louis Airport,"10700 Pear Tree Lane, St Louis, MO, 63134, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Hawthorn Suites by Wyndham St Louis Westport Plaza,"1881 Craigshire Road, St Louis, MO, 63146, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Renaissance St Louis Airport,"9801 Natural Bridge Road, St Louis, MO, 63134, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Best Western St Louis Inn,"6224 Heimos Industrial Park Drive, St Louis, MO, 63129, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Marriott St. Louis West,"660 Maryville Centre Drive, St Louis, MO, 63141, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
River City,"777 River City Casino Blvd, St Louis, MO, 63125, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Holiday Inn Express St. Louis Airport - Riverport,"13735 Riverport Drive, St Louis, MO, 63043, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Pear Tree Inn St. Louis Airport,"10810 Pear Tree Lane, St Louis, MO, 63074, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Courtyard By Marriott St Louis Downtown Convention Center,"827 Washington Ave, St Louis, MO, 63101, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
The Cheshire,"6300 Clayton Road, St Louis, MO, 63117, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Days Inn Downtown St Louis,"2810 North 9th Street, St Louis, MO, 63147, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Courtyard St Louis Airport - Earth City,"3101 Rider Trail South, St Louis, MO, 63044, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Days Inn St Louis Westport MO,"1970 Craig Road, St Louis, MO, 63146, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Fleur-De-Lys Mansion,"3500 Russell Boulevard, St Louis, MO, 63104, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Americas Best Value Inn-St. Louis Downtown,"1100 Lumiere Blvd, St Louis, MO, 63102, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Holiday Inn St. Louis - Forest Park,"5915 Wilson Avenue, St Louis, MO, 63110, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Ignacio,"3411 Olive, St Louis, MO, 63103, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Hampton Inn St Louis-Airport,"10820 Pear Tree Lane, St Louis, MO, 63074, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Sonesta ES Suites St. Louis,"1855 Craigshire Road, St Louis, MO, 63146, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Residence Inn St Louis Galleria,"8011 Galleria Parkway, St Louis, MO, 63117, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Sheraton Westport Chalet Saint Louis,"191 Westport Plaza, St Louis, MO, 63146, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Holiday Inn St Louis-South County Center,"6921 S Lindbergh Blvd, St Louis, MO, 63125, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Holiday Inn St Louis SW - Route66,"10709 Watson Rd., St Louis, MO, 63127, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Hampton Inn Saint Louis - Sunset Hills,"1580 South Kirkwood Road, St Louis, MO, 63127, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Drury Inn Saint Louis Airport,"10490 Natural Bridge Road, St Louis, MO, 63134, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Drury Inn & Suites Near Forest Park,"2111 Sulphur Avenue, St Louis, MO, 63139, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Days Inn Saint Louis - Lindbergh Boulevard,"3654 South Lindbergh Boulevard, St Louis, MO, 63127, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
SpringHill Suites St Louis Airport-Earth City,"3099 Rider Trail South , St Louis, MO, 63044, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Holiday Inn Saint Louis-Airport - Oakland PK,"4505 Woodson Road, St Louis, MO, 63134, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Hilton St Louis Frontenac,"1335 South Lindbergh Boulevard, St Louis, MO, 63131, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Sheraton Westport Plaza,"900 Westport Plaza, St Louis, MO, 63146, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Clayton Plaza,"7750 CARONDELET AVENUE, St Louis, MO, 63105, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Comfort Inn Central West End,"4630 Lindell Boulevard, St Louis, MO, 63108, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Hilton Garden Inn Saint Louis Airport,"4450 Evans Place, St Louis, MO, 63134 , USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Sheraton Clayton Plaza Saint Louis,"7730 Bonhomme Avenue, St Louis, MO, 63105, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Doubletree St Louis at Westport,"1973 Craigshire Road, St Louis, MO, 63146, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Lehmann House,"10 Benton Place, St Louis, MO, 63104, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Quality Inn Airport,"10232 Natural Bridge Road, St Louis, MO, 631341, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Extended Stay America - St. Louis - Westport - Central,"12161 Lackland Road, St Louis, MO, 63146, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Home2 Suites By Hilton St. Louis/Forest Park,"920 S. TAYLOR AVENUE, St Louis, MO, 63110, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Napoleon's Retreat,"1815 Lafayette Avenue, St Louis, MO, 63104, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Motel 6 St Louis - Airport,"4576 Woodson Road, St Louis, MO, 63134, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Lodge At Grants Trail,"4398 Hoffmeister Ave, St Louis, MO, 63125, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Extended Stay America - St. Louis - Westport - Craig Road,"2030 Craig Road, St Louis, MO, 63146, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Grand Center Inn,"3716 Grandel Square, St Louis, MO, 63108, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Americas Best Value Inn St. Louis,"1405 Dunn Road, St Louis, MO, 63138, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Candlewood Suites Saint Louis,"3250 Rider Trail South, St Louis, MO, 63045, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Lumiere Place Casino and Hotel,"901 N 1st St 901, St Louis, MO, 63102, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Super 8 St Louis Airport,"9798 Saint Charles Rock Road, St Louis, MO, 63114, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Homewood Suites By Hilton St Louis Galleria,"8040 CLAYTON ROAD RICHMOND HEIGHTS, St Louis, MO, 63117, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Avyan,"2625 Lafayette Ave, St Louis, MO, 63104, United States",Is this hotel in a safe part of town (e.g. with low crime rates)?
Econo Lodge Southwest,"3730 South Lindbergh Boulevard, St Louis, MO, 63127, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Holiday Inn Airport West Earth City,"3400 Rider Trail South, St Louis, MO, 63045, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Red Roof Inn St Louis Westport,"11837 Lackland Road, St Louis, MO, 63146, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Americas Best Value Inn Saint Louis South,"6602 South Lindbergh Boulevard, St Louis, MO, 63123, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Americas Best Value Inn St Louis Airport,"4545 Woodson Road, St Louis, MO, 63134, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Homewood Suites by Hilton St. Louis Riverport,"13639 Riverport Dr, St Louis, MO, 63043, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
Forget-Me-Not Bed And Breakfast,"2712 S Compton Ave, St Louis, MO, 63118, USA",Is this hotel in a safe part of town (e.g. with low crime rates)?
The Ritz-Carlton - St. Louis,"100 Carondelet Plaza, St. Louis, MO 63105",Is this hotel in a safe part of town (e.g. with low crime rates)?
Hyatt Regency St. Louis at The Arch ,"315 Chestnut Street, St Louis, MO, 63102, USA",Are there great views from the rooms of this hotel?
Residence Inn St Louis,"525 South Jefferson Avenue, St Louis, MO, 63103, USA",Are there great views from the rooms of this hotel?
Parkway,"4550 Forest Park Avenue, St Louis, MO, 63108, USA",Are there great views from the rooms of this hotel?
Marriott St. Louis Grand,"800 Washington Avenue, St Louis, MO, 63101, USA",Are there great views from the rooms of this hotel?
Drury Plaza at the Arch,"2 South 4th Street, St Louis, MO, 63102, USA",Are there great views from the rooms of this hotel?
Hampton Inn St Louis Downtown,"333 Washington Avenue, St Louis, MO, 63102, USA",Are there great views from the rooms of this hotel?
Four Seasons Saint Louis,"999 North Second Street, St Louis, MO, 63102, USA",Are there great views from the rooms of this hotel?
Hilton St. Louis at the Ballpark,"One South Broadway, St Louis, MO, 63102, USA",Are there great views from the rooms of this hotel?
St. Louis City Center Hotel,"400 South 14th Street, St Louis, MO, 63103, USA",Are there great views from the rooms of this hotel?
The Chase Park Plaza,"212 North Kingshighway, St Louis, MO, 63108, USA",Are there great views from the rooms of this hotel?
DoubleTree by Hilton St Louis Union Station,"1820 Market Street, St Louis, MO, 63103, USA",Are there great views from the rooms of this hotel?
Crowne Plaza St. Louis - Downtown,"200 North Fourth St., St Louis, MO, 63102, USA",Are there great views from the rooms of this hotel?
Hilton Saint Louis Airport,"10330 Natural Bridge Road, St Louis, MO, 63134, USA",Are there great views from the rooms of this hotel?
The Westin St Louis,"811 Spruce Street, St Louis, MO, 63102, USA",Are there great views from the rooms of this hotel?
Hilton St. Louis Downtown at the Arch,"400 Olive Street, St Louis, MO, 63102, USA",Are there great views from the rooms of this hotel?
Holiday Inn St. Louis - Downtown Conv Ctr,"811 N. 9th Street, St Louis, MO, 63101, USA",Are there great views from the rooms of this hotel?
Comfort Inn St Louis - Westport,"12031 Lackland Road, St Louis, MO, 63146, USA",Are there great views from the rooms of this hotel?
Drury Inn & Suites St. Louis Convention Center,"711 North Broadway, St Louis, MO, 63102, USA",Are there great views from the rooms of this hotel?
Embassy Suites St. Louis - Downtown,"610 N 7th St, St. Louis, MO 63101",Are there great views from the rooms of this hotel?
Pear Tree Inn St. Louis Near Union Station,"2211 Market Street, St Louis, MO, 63103, USA",Are there great views from the rooms of this hotel?
Hampton Inn & Suites Saint Louis at Forest Park,"5650 Oakland Avenue, St Louis, MO, 63110, USA",Are there great views from the rooms of this hotel?
Red Roof Inn St Louis - Forest Park Hampton Avenue,"5823 Wilson Avenue, St Louis, MO, 63110 , USA",Are there great views from the rooms of this hotel?
Courtyard St Louis Downtown,"2340 Market Street, St Louis, MO, 63103, USA",Are there great views from the rooms of this hotel?
Drury Inn Saint Louis Union Station,"201 South 20th Street, St Louis, MO, 63103, USA",Are there great views from the rooms of this hotel?
Hampton Inn & Suites St Louis - South I-55,"4200 MidAmerica Lane, St Louis, MO, 63129, USA",Are there great views from the rooms of this hotel?
Magnolia St. Louis,"421 North 8th Street, St Louis, MO, 63101, USA",Are there great views from the rooms of this hotel?
Moonrise,"6177 Delmar in The Loop, St Louis, MO, 63112, USA",Are there great views from the rooms of this hotel?
Holiday Inn Express St Louis,"2625 Lafayette, St Louis, MO, 63104, USA",Are there great views from the rooms of this hotel?
Courtyard Saint Louis Westport Plaza,"11888 Westline Industrial Drive, St Louis, MO, 63146, USA",Are there great views from the rooms of this hotel?
Missouri Athletic Club,"405 Washington Avenue, St Louis, MO, 63102, USA",Are there great views from the rooms of this hotel?
Best Western Kirkwood Inn,"1200 South Kirkwood Road, St Louis, MO, 63122, USA",Are there great views from the rooms of this hotel?
Marriott St Louis Airport,"10700 Pear Tree Lane, St Louis, MO, 63134, USA",Are there great views from the rooms of this hotel?
Hawthorn Suites by Wyndham St Louis Westport Plaza,"1881 Craigshire Road, St Louis, MO, 63146, USA",Are there great views from the rooms of this hotel?
Renaissance St Louis Airport,"9801 Natural Bridge Road, St Louis, MO, 63134, USA",Are there great views from the rooms of this hotel?
