HIT ID,HOTEL,ASSIGNMENT ID,TIME TAKEN,WORKER VOTE
31ODACBENUFVH339B4X2V8ZTMJPSQ8,( Hyatt Regency St. Louis at The Arch),3IQ1VMJRYTKNCSYN345RDXAJ4QB9AI,1090.0,0
31ODACBENUFVH339B4X2V8ZTMJPSQ8,( Hyatt Regency St. Louis at The Arch),3TMSXRD2X602U0YV0WMQGGPRYYXW1G,635.0,1
31ODACBENUFVH339B4X2V8ZTMJPSQ8,( Hyatt Regency St. Louis at The Arch),34YB12FSQYO3T3UKED16E5R62L4GMB,35.0,0
31ODACBENUFVH339B4X2V8ZTMJPSQ8,( Hyatt Regency St. Louis at The Arch),3WEV0KO0OMS3FEXYWKWKKTNFHI9SDS,33.0,0
31ODACBENUFVH339B4X2V8ZTMJPSQ8,( Hyatt Regency St. Louis at The Arch),3IXEICO792J595VYBXTWOS992FBT61,584.0,0
31ODACBENUFVH339B4X2V8ZTMJPSQ8,( Hyatt Regency St. Louis at The Arch),30LSNF239UVRIQWMUJIPK8QOBTZ2II,31.0,1
31ODACBENUFVH339B4X2V8ZTMJPSQ8,( Hyatt Regency St. Louis at The Arch),3HOSI13XHZOXDPEGZU1VPU1FGFHDD1,62.0,0
31ODACBENUFVH339B4X2V8ZTMJPSQ8,( Hyatt Regency St. Louis at The Arch),3QECW5O0KH19Q1VK6EJRWMV96KD5TA,99.0,0
31ODACBENUFVH339B4X2V8ZTMJPSQ8,( Hyatt Regency St. Louis at The Arch),3G5W44VEU7I83FUHT1OQZSZ2DH6GK5,162.0,0
3M0556243SK1A1LVPS5MKFL9SI8NFX,( Residence Inn St Louis),3FE7TXL1LIN4ZOK57RNYTAHA22N2QQ,1142.0,0
3M0556243SK1A1LVPS5MKFL9SI8NFX,( Residence Inn St Louis),3GM6G9ZBKNX7Y8GQYD0DDO6VSF6MTK,163.0,1
3M0556243SK1A1LVPS5MKFL9SI8NFX,( Residence Inn St Louis),3TPZPLC3M0C8KUF9BEMECFWS3LD3PP,64.0,0
3M0556243SK1A1LVPS5MKFL9SI8NFX,( Residence Inn St Louis),3OJSZ2ATDSWMS3YDTBGQRQ3RHN775L,18.0,0
3M0556243SK1A1LVPS5MKFL9SI8NFX,( Residence Inn St Louis),3EWIJTFFVO786BRMJDOKG5ZHM280EN,26.0,1
3M0556243SK1A1LVPS5MKFL9SI8NFX,( Residence Inn St Louis),36NEMU28XFDZQPKKTI5O08DUW9EMW0,150.0,1
3M0556243SK1A1LVPS5MKFL9SI8NFX,( Residence Inn St Louis),3QFUFYSY9YFHBD9JXPVSAQAUFF5F42,38.0,0
3M0556243SK1A1LVPS5MKFL9SI8NFX,( Residence Inn St Louis),386CSBG1OZMSHP36UTZ1JNYMI9Z6QP,241.0,1
3M0556243SK1A1LVPS5MKFL9SI8NFX,( Residence Inn St Louis),3H0W84IWBK2W65BLDQ7Z0104VT8ER2,172.0,1
3IKMEYR0LWVG11OG4KYZ84AGPJZ2KO,( Parkway),3HWRJOOET5287KBYSF74QB50HTXSE6,235.0,1
3IKMEYR0LWVG11OG4KYZ84AGPJZ2KO,( Parkway),32EYX73OY09DV1873QM44JM7HF8RUY,544.0,1
3IKMEYR0LWVG11OG4KYZ84AGPJZ2KO,( Parkway),3DYGAII7PL80RVLB9PYAPNP3DDJPQ6,69.0,1
3IKMEYR0LWVG11OG4KYZ84AGPJZ2KO,( Parkway),3SKEMFQBZ35TA0OZA3C27FI4PXZ8KL,19.0,0
3IKMEYR0LWVG11OG4KYZ84AGPJZ2KO,( Parkway),3FTYUGLFSUL29CZNKOJCRIDN3Y15D3,315.0,1
3IKMEYR0LWVG11OG4KYZ84AGPJZ2KO,( Parkway),3I33IC7ZWF2CC8DOIVQC3A25YLF2AZ,1043.0,1
3IKMEYR0LWVG11OG4KYZ84AGPJZ2KO,( Parkway),3KV0LJBBH2LUIT3YUOVID95D4UQMRO,65.0,0
3IKMEYR0LWVG11OG4KYZ84AGPJZ2KO,( Parkway),38F5OAUN5NCY8WI8UDHZGN6HMW4H7I,315.0,1
3IKMEYR0LWVG11OG4KYZ84AGPJZ2KO,( Parkway),3Z3ZLGNNSIUTK6GOBR13CKM28HFQ3J,164.0,1
30P8I9JKOILMG91FL7E48KO9PRWV53,( Marriott St. Louis Grand),3M0NZ3JDP1Y5CD4JC689IAWQRG2Z5N,65.0,0
30P8I9JKOILMG91FL7E48KO9PRWV53,( Marriott St. Louis Grand),31QNSG6A5RT5FLHFR9NT3ADIJDQ876,973.0,0
30P8I9JKOILMG91FL7E48KO9PRWV53,( Marriott St. Louis Grand),37C0GNLMHF3YSGZ1P7THJORNZT96DH,113.0,0
30P8I9JKOILMG91FL7E48KO9PRWV53,( Marriott St. Louis Grand),33CID57104TIT90BJMT7VYN8YBLL3I,24.0,0
30P8I9JKOILMG91FL7E48KO9PRWV53,( Marriott St. Louis Grand),3WEV0KO0OMS3FEXYWKWKKTNFHILDSP,55.0,0
30P8I9JKOILMG91FL7E48KO9PRWV53,( Marriott St. Louis Grand),3W92K5RLWUHO3TZ9B9J6X4JU35LV58,202.0,0
30P8I9JKOILMG91FL7E48KO9PRWV53,( Marriott St. Louis Grand),34J10VATJFY8A9Y7WU8QGQORR0TIQU,104.0,0
30P8I9JKOILMG91FL7E48KO9PRWV53,( Marriott St. Louis Grand),3IGI0VL647KX3YWIEXTEWTP8YY8NOA,37.0,0
30P8I9JKOILMG91FL7E48KO9PRWV53,( Marriott St. Louis Grand),3RGU30DZTA8DK5KLMJM9BIJMUE5JM4,441.0,1
3PMR2DOWOO1NMWI01BDHZUOWC70542,( Drury Plaza at the Arch),3RWE2M8QWHAC0H4ZCCR36STQ0TG0NH,112.0,0
3PMR2DOWOO1NMWI01BDHZUOWC70542,( Drury Plaza at the Arch),3VNL7UK1XFJ1SYO9CQW0IYMMVETTFJ,989.0,0
3PMR2DOWOO1NMWI01BDHZUOWC70542,( Drury Plaza at the Arch),34Q075JO1XD9MAXA7PT59LGNXTK01K,109.0,0
3PMR2DOWOO1NMWI01BDHZUOWC70542,( Drury Plaza at the Arch),3VE8AYVF8MXIUEWL9SL5R2QZH1F8FG,45.0,0
3PMR2DOWOO1NMWI01BDHZUOWC70542,( Drury Plaza at the Arch),3KWTYT08703L7ONFX5H0AVLSC725LI,42.0,0
3PMR2DOWOO1NMWI01BDHZUOWC70542,( Drury Plaza at the Arch),3ND9UOO81K2FK72ZT6490VY5W4JLWS,137.0,0
3PMR2DOWOO1NMWI01BDHZUOWC70542,( Drury Plaza at the Arch),3NL0RFNU0FNSRZ1XY0MPQ32ZNBHK44,49.0,0
3PMR2DOWOO1NMWI01BDHZUOWC70542,( Drury Plaza at the Arch),3RGU30DZTA8DK5KLMJM9BIJMUD7MJ7,32.0,0
3PMR2DOWOO1NMWI01BDHZUOWC70542,( Drury Plaza at the Arch),35GMH2SV3EHT9SJ5LYQV66VZK6ZOEE,1089.0,1
3IJ95K7NDXC7O1HQ0CB420LLTX8NGW,( Hampton Inn St Louis Downtown),3DR23U6WE5E9MKODHFCU0G1MJDFETN,919.0,0
3IJ95K7NDXC7O1HQ0CB420LLTX8NGW,( Hampton Inn St Louis Downtown),3X73LLYYQ1ENBHAVAKYOCKS7MBMNHC,216.0,1
3IJ95K7NDXC7O1HQ0CB420LLTX8NGW,( Hampton Inn St Louis Downtown),3AUQQEL7U5TP8MD8E3DUG9N3MXN0V5,316.0,0
3IJ95K7NDXC7O1HQ0CB420LLTX8NGW,( Hampton Inn St Louis Downtown),3NJM2BJS4W6WXUBS47XF5I0M9YQCPW,49.0,0
3IJ95K7NDXC7O1HQ0CB420LLTX8NGW,( Hampton Inn St Louis Downtown),386PBUZZXFXTEN20M7LUB54XU8ZLJM,61.0,0
3IJ95K7NDXC7O1HQ0CB420LLTX8NGW,( Hampton Inn St Louis Downtown),3ND9UOO81K2FK72ZT6490VY5W4NWL7,331.0,1
3IJ95K7NDXC7O1HQ0CB420LLTX8NGW,( Hampton Inn St Louis Downtown),3STRJBFXOWRC8KGND1NXYBER3A0TKB,54.0,1
3IJ95K7NDXC7O1HQ0CB420LLTX8NGW,( Hampton Inn St Louis Downtown),3TMSXRD2X602U0YV0WMQGGPRYYKW13,34.0,0
3IJ95K7NDXC7O1HQ0CB420LLTX8NGW,( Hampton Inn St Louis Downtown),3AAPLD8UCCHL6UFF7GK0LJYZBT4HT3,236.0,0
356ZPKYPUHH7DDE3AXA2DPXKY8ZPYS,( Four Seasons Saint Louis),3PQ8K71NHXK1HB8SVAJR9SL3A8TAAY,1103.0,0
356ZPKYPUHH7DDE3AXA2DPXKY8ZPYS,( Four Seasons Saint Louis),3GNA64GUZE4WYL3SPAPWRHKMMDR5Q9,239.0,0
356ZPKYPUHH7DDE3AXA2DPXKY8ZPYS,( Four Seasons Saint Louis),3OVHNO1VE610GQJCRCQSGMKI4X9DZI,810.0,0
356ZPKYPUHH7DDE3AXA2DPXKY8ZPYS,( Four Seasons Saint Louis),39U1BHVTDLR6CM8GSVVYHPXPSOE3TA,25.0,0
356ZPKYPUHH7DDE3AXA2DPXKY8ZPYS,( Four Seasons Saint Louis),3FPRZHYEPY7LPEC5XQVDI7LAP9UV3I,32.0,1
356ZPKYPUHH7DDE3AXA2DPXKY8ZPYS,( Four Seasons Saint Louis),3R6P78PK7KB76YK4NA2I0JMYWTKTG9,86.0,0
356ZPKYPUHH7DDE3AXA2DPXKY8ZPYS,( Four Seasons Saint Louis),3137ONMDKG55HF27XFDN1XMXTJZGE8,31.0,0
356ZPKYPUHH7DDE3AXA2DPXKY8ZPYS,( Four Seasons Saint Louis),3GGAI1SQEVYQCREFCR5NOE6R4T3CMO,96.0,1
356ZPKYPUHH7DDE3AXA2DPXKY8ZPYS,( Four Seasons Saint Louis),37TRT2X24QRH1EGOVUW0X28SIFHJBV,90.0,0
3N3WJQXELSQRL76YPKA0N4NVEJ42LR,( Hilton St. Louis at the Ballpark),340UGXU9DY15O8POCARE5GBA2LLUVU,663.0,0
3N3WJQXELSQRL76YPKA0N4NVEJ42LR,( Hilton St. Louis at the Ballpark),3JZQSN0I3QAXNT23SQXTJF7X5K4FGF,616.0,1
3N3WJQXELSQRL76YPKA0N4NVEJ42LR,( Hilton St. Louis at the Ballpark),3P4MQ7TPPXCBJVIC72JJZEPFA9NBBF,83.0,0
3N3WJQXELSQRL76YPKA0N4NVEJ42LR,( Hilton St. Louis at the Ballpark),37W3JXSD668ZK69YCLTZU3015JOWYW,373.0,0
3N3WJQXELSQRL76YPKA0N4NVEJ42LR,( Hilton St. Louis at the Ballpark),3HYA4D452RJ78ZUWTBC4HBDWV17F24,145.0,1
3N3WJQXELSQRL76YPKA0N4NVEJ42LR,( Hilton St. Louis at the Ballpark),3LS2AMNW5FQI6V9AUPLV0NKD38CQOF,62.0,0
3N3WJQXELSQRL76YPKA0N4NVEJ42LR,( Hilton St. Louis at the Ballpark),3L4D84MILZSRSRJAVM6WJDBQDSTJHI,412.0,1
3N3WJQXELSQRL76YPKA0N4NVEJ42LR,( Hilton St. Louis at the Ballpark),3IJXV6UZ1XJ8MAD799XQLGYWNMDRIM,420.0,0
3N3WJQXELSQRL76YPKA0N4NVEJ42LR,( Hilton St. Louis at the Ballpark),3WI0P0II61SREZXLHVWFUJIJVHADRB,32.0,1
3ECKRY5B1QWF1H14TOM1IZ5AIO8ZIH,( St. Louis City Center Hotel),3EO896NRAWVHX0A5VGNLXWEEOK8TJI,144.0,1
3ECKRY5B1QWF1H14TOM1IZ5AIO8ZIH,( St. Louis City Center Hotel),3U84XHCDICDNGU0JY1PZDIQCRJ44ZI,997.0,0
3ECKRY5B1QWF1H14TOM1IZ5AIO8ZIH,( St. Louis City Center Hotel),3AZHRG4CU4K5WDBPUT7OXEVKVDT30A,136.0,0
3ECKRY5B1QWF1H14TOM1IZ5AIO8ZIH,( St. Louis City Center Hotel),3E1QT0TDFP9245YBA0RQUZ3RXT58I5,57.0,0
3ECKRY5B1QWF1H14TOM1IZ5AIO8ZIH,( St. Louis City Center Hotel),32Z9ZLUT1LK5T2A7BZY1R9SCCLZOH0,14.0,0
3ECKRY5B1QWF1H14TOM1IZ5AIO8ZIH,( St. Louis City Center Hotel),317HQ483I7SN7CLFG2G9CWTMMOKNIO,92.0,0
3ECKRY5B1QWF1H14TOM1IZ5AIO8ZIH,( St. Louis City Center Hotel),3A9AA95ATWMBY92DPXA7RCUCHHG5PT,90.0,0
3ECKRY5B1QWF1H14TOM1IZ5AIO8ZIH,( St. Louis City Center Hotel),3FFJ6VRIL1OKMGT8FWEB1KX9EVEI0D,29.0,1
3ECKRY5B1QWF1H14TOM1IZ5AIO8ZIH,( St. Louis City Center Hotel),392CY0QWG1R1L4B9YX1DDNNMV7VI4U,85.0,1
3HEA4ZVWVDM5IFM0FGWR4MUAC3V557,( The Chase Park Plaza),3QY7M81QH7MPAMJG0YKWTFM9ECGK7V,477.0,1
3HEA4ZVWVDM5IFM0FGWR4MUAC3V557,( The Chase Park Plaza),34T446B1C0ET9D78NMIPQHZE1P20CZ,345.0,1
3HEA4ZVWVDM5IFM0FGWR4MUAC3V557,( The Chase Park Plaza),3VP0C6EFSGW1WA5E20SK2EEH87Z6MX,159.0,1
3HEA4ZVWVDM5IFM0FGWR4MUAC3V557,( The Chase Park Plaza),3IXEICO792J595VYBXTWOS992FVT6L,131.0,1
3HEA4ZVWVDM5IFM0FGWR4MUAC3V557,( The Chase Park Plaza),3S3AMIZX3U5N8X82ZY6K5OJXVFMDCI,51.0,0
3HEA4ZVWVDM5IFM0FGWR4MUAC3V557,( The Chase Park Plaza),3PJ71Z61R42RI4LN7LCY2WHG0XH190,1137.0,1
3HEA4ZVWVDM5IFM0FGWR4MUAC3V557,( The Chase Park Plaza),3ON104KXQKWJMZVENE5SEEWUAIEW40,88.0,1
3HEA4ZVWVDM5IFM0FGWR4MUAC3V557,( The Chase Park Plaza),3LEIZ60CDJZOD06VFWLQUQ1SDCBZ94,74.0,1
3HEA4ZVWVDM5IFM0FGWR4MUAC3V557,( The Chase Park Plaza),3KOPY89HM82CYJCBG1HUFJAGUMSJ3Q,145.0,0
3FO95NVK5C0VT4I9OJM20Y9YI5RSR9,( DoubleTree by Hilton St Louis Union Station),3HYA4D452RJ78ZUWTBC4HBDWV1H2F1,999.0,0
3FO95NVK5C0VT4I9OJM20Y9YI5RSR9,( DoubleTree by Hilton St Louis Union Station),33SA9F9TRXU1E1S7CKH5N08LN71WEZ,115.0,1
3FO95NVK5C0VT4I9OJM20Y9YI5RSR9,( DoubleTree by Hilton St Louis Union Station),3OWEPKL089CQIS4JXBCCL73D88UN7E,41.0,0
3FO95NVK5C0VT4I9OJM20Y9YI5RSR9,( DoubleTree by Hilton St Louis Union Station),3A1COHJ8NJV28ANR4I95UN2CXGW8HI,32.0,0
3FO95NVK5C0VT4I9OJM20Y9YI5RSR9,( DoubleTree by Hilton St Louis Union Station),3XM0HYN6NKZBUSV60Y3AV60PUA5EPT,80.0,0
3FO95NVK5C0VT4I9OJM20Y9YI5RSR9,( DoubleTree by Hilton St Louis Union Station),3MX2NQ3YC9UG7I44BOKOLPGFJGM5XE,16.0,0
3FO95NVK5C0VT4I9OJM20Y9YI5RSR9,( DoubleTree by Hilton St Louis Union Station),3OS4RQUCR9F1WCUSC45FI4G0P7DBFV,300.0,0
3FO95NVK5C0VT4I9OJM20Y9YI5RSR9,( DoubleTree by Hilton St Louis Union Station),3ATPCQ38J8A2DT6VBGX7CE3AD0JYAL,153.0,1
3FO95NVK5C0VT4I9OJM20Y9YI5RSR9,( DoubleTree by Hilton St Louis Union Station),3KAKFY4PGU2G38S5YJWU3IVGH713IW,127.0,0
31N9JPQXIPILOXC1KITMN0XM8XLNHV,( Crowne Plaza St. Louis - Downtown),3634BBTX0OUBJK8YIEXW4RKDKXDIFR,201.0,0
31N9JPQXIPILOXC1KITMN0XM8XLNHV,( Crowne Plaza St. Louis - Downtown),3WJ1OXY92AGNYNFDYCZDD1F8KL4A87,47.0,0
31N9JPQXIPILOXC1KITMN0XM8XLNHV,( Crowne Plaza St. Louis - Downtown),32Q90QCQ1SLAJ1YQN6Y2ZPEQ005EKY,152.0,0
31N9JPQXIPILOXC1KITMN0XM8XLNHV,( Crowne Plaza St. Louis - Downtown),3F6KKYWMNB16Z15TOOFYLZD9UJIDNI,134.0,1
31N9JPQXIPILOXC1KITMN0XM8XLNHV,( Crowne Plaza St. Louis - Downtown),386CSBG1OZMSHP36UTZ1JNYMI8K6Q8,46.0,0
31N9JPQXIPILOXC1KITMN0XM8XLNHV,( Crowne Plaza St. Louis - Downtown),3KKG4CDWKIY8A3I6U3V00UOJCIN94J,111.0,0
31N9JPQXIPILOXC1KITMN0XM8XLNHV,( Crowne Plaza St. Louis - Downtown),3YOH7BII097RLCKCIWNCZT2C0W0VKF,127.0,0
31N9JPQXIPILOXC1KITMN0XM8XLNHV,( Crowne Plaza St. Louis - Downtown),317HQ483I7SN7CLFG2G9CWTMMPSINT,38.0,1
31N9JPQXIPILOXC1KITMN0XM8XLNHV,( Crowne Plaza St. Louis - Downtown),3TDXMTX3CBUF0RFNHLUSAL70R0LI63,784.0,0
3NRZ1LDP7W67I3O86JCLRW6M423PZJ,( Hilton Saint Louis Airport),3PZDLQMM0TL05NAM29M395STYON2CO,962.0,0
3NRZ1LDP7W67I3O86JCLRW6M423PZJ,( Hilton Saint Louis Airport),3A1PQ49WVHHKXA365X0QFDF4JAO1HP,43.0,0
3NRZ1LDP7W67I3O86JCLRW6M423PZJ,( Hilton Saint Louis Airport),3VJ40NV2QINVYB12BTFQ5SV0NFSOT8,75.0,0
3NRZ1LDP7W67I3O86JCLRW6M423PZJ,( Hilton Saint Louis Airport),32VNZTT0A74EE3ESOKVMRFODI3Y4R4,62.0,0
3NRZ1LDP7W67I3O86JCLRW6M423PZJ,( Hilton Saint Louis Airport),3P4RDNWND56ROMUU14OHJPC5D49IJ9,275.0,0
3NRZ1LDP7W67I3O86JCLRW6M423PZJ,( Hilton Saint Louis Airport),37Q970SNZE89NJHMGRCPJRM6SLMS1I,369.0,0
3NRZ1LDP7W67I3O86JCLRW6M423PZJ,( Hilton Saint Louis Airport),3LRKMWOKB5HDDGLWUN6BK3TE7612ZF,482.0,0
3NRZ1LDP7W67I3O86JCLRW6M423PZJ,( Hilton Saint Louis Airport),3CFVK00FWLLHQSNT2OR521ZS82W6LI,37.0,0
3NRZ1LDP7W67I3O86JCLRW6M423PZJ,( Hilton Saint Louis Airport),333U7HK6I9FAGBE89QN6SSWSLZIJDP,286.0,0
37Y5RYYI0P5FQ04LXISUPGVMJMCXSA,( The Westin St Louis),3VD82FOHKQOECUZRP7K0GIVWZTKCO5,371.0,0
37Y5RYYI0P5FQ04LXISUPGVMJMCXSA,( The Westin St Louis),33L7PJKHCGYSDJEM4CQU86508AJ8TK,394.0,0
37Y5RYYI0P5FQ04LXISUPGVMJMCXSA,( The Westin St Louis),3YMU66OBIN8H1PT9NGLTM0JALZ8HG6,78.0,0
37Y5RYYI0P5FQ04LXISUPGVMJMCXSA,( The Westin St Louis),3EFVCAY5L39YZGIHSICQ60IRA8Z8JM,154.0,1
37Y5RYYI0P5FQ04LXISUPGVMJMCXSA,( The Westin St Louis),3HMIGG0U4L6OU5DGEIDTGNXFNC8Y86,79.0,0
37Y5RYYI0P5FQ04LXISUPGVMJMCXSA,( The Westin St Louis),39LOEL67OS5NE2GSPXK3QT12EBG83D,49.0,0
37Y5RYYI0P5FQ04LXISUPGVMJMCXSA,( The Westin St Louis),39U1BHVTDLR6CM8GSVVYHPXPSO0T3M,467.0,0
37Y5RYYI0P5FQ04LXISUPGVMJMCXSA,( The Westin St Louis),320DUZ38G7MDSVOZBGOEYDZPYRIJGJ,46.0,0
37Y5RYYI0P5FQ04LXISUPGVMJMCXSA,( The Westin St Louis),3Q5ZZ9ZEVOFQSH3W3G8W5QZMS7K58D,124.0,1
36D1BWBEHN1BRPOJPWBFNH2KEOU2MT,( Hilton St. Louis Downtown at the Arch),3OWEPKL089CQIS4JXBCCL73D87LN73,711.0,0
36D1BWBEHN1BRPOJPWBFNH2KEOU2MT,( Hilton St. Louis Downtown at the Arch),3EA3QWIZ4IVL2PQZDY2LLVZEB6MTIB,52.0,0
36D1BWBEHN1BRPOJPWBFNH2KEOU2MT,( Hilton St. Louis Downtown at the Arch),3VSOLARPKB9NS7Z2UPQHQPWDYHV39U,48.0,0
36D1BWBEHN1BRPOJPWBFNH2KEOU2MT,( Hilton St. Louis Downtown at the Arch),3R3YRB5GRF3LWKMQ1F0I9TXXHC4AUV,307.0,0
36D1BWBEHN1BRPOJPWBFNH2KEOU2MT,( Hilton St. Louis Downtown at the Arch),3QRYMNZ7FYHDGQ1QAEFDQ3VVX55TNG,21.0,1
36D1BWBEHN1BRPOJPWBFNH2KEOU2MT,( Hilton St. Louis Downtown at the Arch),3OS4RQUCR9F1WCUSC45FI4G0P7KBF2,140.0,0
36D1BWBEHN1BRPOJPWBFNH2KEOU2MT,( Hilton St. Louis Downtown at the Arch),3HVVDCPGTES7SP54HGOO7JT21QXYT1,92.0,0
36D1BWBEHN1BRPOJPWBFNH2KEOU2MT,( Hilton St. Louis Downtown at the Arch),3VD82FOHKQOECUZRP7K0GIVWZUBCOY,474.0,0
36D1BWBEHN1BRPOJPWBFNH2KEOU2MT,( Hilton St. Louis Downtown at the Arch),3FFJ6VRIL1OKMGT8FWEB1KX9EWHI0I,57.0,1
3S8A4GJRD33IZD1TQQO90Q29LM7V6J,( Holiday Inn St. Louis - Downtown Conv Ctr),3FDJT1UU748ANI5XC55ZVV8DN7QK5N,953.0,0
3S8A4GJRD33IZD1TQQO90Q29LM7V6J,( Holiday Inn St. Louis - Downtown Conv Ctr),3AQF3RZ558IVQ0DXGDO77OU8B6R6FU,54.0,0
3S8A4GJRD33IZD1TQQO90Q29LM7V6J,( Holiday Inn St. Louis - Downtown Conv Ctr),3L4D84MILZSRSRJAVM6WJDBQDRQHJB,37.0,0
3S8A4GJRD33IZD1TQQO90Q29LM7V6J,( Holiday Inn St. Louis - Downtown Conv Ctr),3NGMS9VZTLIR9T68H6RB1U7L450FFC,156.0,0
3S8A4GJRD33IZD1TQQO90Q29LM7V6J,( Holiday Inn St. Louis - Downtown Conv Ctr),3ERMJ6L4DYSK0AJJLAXC8SED3I0M7T,40.0,0
3S8A4GJRD33IZD1TQQO90Q29LM7V6J,( Holiday Inn St. Louis - Downtown Conv Ctr),33IZTU6J811HDK2FNKXWE0Q7X01SXA,249.0,0
3S8A4GJRD33IZD1TQQO90Q29LM7V6J,( Holiday Inn St. Louis - Downtown Conv Ctr),33FOTY3KEMLTG2SQJ5MP4MIO6I2C1A,36.0,0
3S8A4GJRD33IZD1TQQO90Q29LM7V6J,( Holiday Inn St. Louis - Downtown Conv Ctr),3ERET4BTVM9TO579FVIG7BDF9359KZ,114.0,1
3S8A4GJRD33IZD1TQQO90Q29LM7V6J,( Holiday Inn St. Louis - Downtown Conv Ctr),3RGU30DZTA8DK5KLMJM9BIJMUEGJMF,80.0,0
39XCQ6V3KY411JMEKZ6WWS8A8Y656N,( Comfort Inn St Louis - Westport),3H8DHMCCW9B5RVKQRBNIT7W50ONDKN,980.0,0
39XCQ6V3KY411JMEKZ6WWS8A8Y656N,( Comfort Inn St Louis - Westport),3L4D84MILZSRSRJAVM6WJDBQDROHJ9,34.0,0
39XCQ6V3KY411JMEKZ6WWS8A8Y656N,( Comfort Inn St Louis - Westport),33IZTU6J811HDK2FNKXWE0Q7X00XSE,235.0,1
39XCQ6V3KY411JMEKZ6WWS8A8Y656N,( Comfort Inn St Louis - Westport),3OXV7EAXLEQ0AOX4WIN56F5B8G5634,62.0,0
39XCQ6V3KY411JMEKZ6WWS8A8Y656N,( Comfort Inn St Louis - Westport),3KOPY89HM82CYJCBG1HUFJAGUMQJ3O,42.0,0
39XCQ6V3KY411JMEKZ6WWS8A8Y656N,( Comfort Inn St Louis - Westport),35GMH2SV3EHT9SJ5LYQV66VZK62EO7,86.0,0
39XCQ6V3KY411JMEKZ6WWS8A8Y656N,( Comfort Inn St Louis - Westport),32AT8R96GL9PWG8KIFM9UTR33J1SU1,164.0,0
39XCQ6V3KY411JMEKZ6WWS8A8Y656N,( Comfort Inn St Louis - Westport),35K3O9HUABDZ3F6CMV75JCMLS5TEF3,73.0,0
39XCQ6V3KY411JMEKZ6WWS8A8Y656N,( Comfort Inn St Louis - Westport),3TEM0PF1Q5X3E5DMNID0ANHWMR40DT,711.0,1
3FK4G712NX07UJIM38M7Q8EU47ASSX,( Drury Inn & Suites St. Louis Convention Center),3JV9LGBJWTERT6FWRTGJ69GBXKAGOF,1021.0,0
3FK4G712NX07UJIM38M7Q8EU47ASSX,( Drury Inn & Suites St. Louis Convention Center),3AMW0RGHOD2FOY8JTX6TLTUY82XPNK,93.0,0
3FK4G712NX07UJIM38M7Q8EU47ASSX,( Drury Inn & Suites St. Louis Convention Center),3B2X28YI3WF5DJ1HBB2BOY3NW8UB6C,75.0,0
3FK4G712NX07UJIM38M7Q8EU47ASSX,( Drury Inn & Suites St. Louis Convention Center),3HPZF4IVNMTQ683TVUTYI9TYD3SCYP,69.0,0
3FK4G712NX07UJIM38M7Q8EU47ASSX,( Drury Inn & Suites St. Louis Convention Center),3DH6GAKTYYP3E1E3N8D6T7UJMLGZYD,86.0,0
3FK4G712NX07UJIM38M7Q8EU47ASSX,( Drury Inn & Suites St. Louis Convention Center),3XLBSAQ9Z4CKZHI20ZN6GUAMIM8Z7D,166.0,0
3FK4G712NX07UJIM38M7Q8EU47ASSX,( Drury Inn & Suites St. Louis Convention Center),3KJYX6QCM9BWASEU0BN0YE2ZL66JV8,78.0,0
3FK4G712NX07UJIM38M7Q8EU47ASSX,( Drury Inn & Suites St. Louis Convention Center),3V5Q80FXIXRCSNE39GB2G2OZSBU32B,19.0,0
3FK4G712NX07UJIM38M7Q8EU47ASSX,( Drury Inn & Suites St. Louis Convention Center),3SKEMFQBZ35TA0OZA3C27FI4PXC8KY,211.0,0
3BAWBGQGYLZ13DFY90T16425GXRV7I,( Embassy Suites St. Louis - Downtown),3LRLIPTPEQ97TOHE71WG36OZFLOKAQ,287.0,0
3BAWBGQGYLZ13DFY90T16425GXRV7I,( Embassy Suites St. Louis - Downtown),3X31TUMD7XMMJ6MWWIFO758B0RP1LO,217.0,0
